date_id,full_date,day,month,year,week_number,is_holiday,season
20250101,2025-01-01,1,1,2025,0,false,Winter
20250102,2025-01-02,2,1,2025,0,false,Winter
20250103,2025-01-03,3,1,2025,0,false,Winter
20250104,2025-01-04,4,1,2025,0,false,Winter
20250105,2025-01-05,5,1,2025,1,false,Winter
20250106,2025-01-06,6,1,2025,1,false,Winter
20250107,2025-01-07,7,1,2025,1,false,Winter
20250108,2025-01-08,8,1,2025,1,false,Winter
20250109,2025-01-09,9,1,2025,1,false,Winter
20250110,2025-01-10,10,1,2025,1,false,Winter
20250111,2025-01-11,11,1,2025,1,false,Winter
20250112,2025-01-12,12,1,2025,2,false,Winter
20250113,2025-01-13,13,1,2025,2,false,Winter
20250114,2025-01-14,14,1,2025,2,false,Winter
20250115,2025-01-15,15,1,2025,2,false,Winter
20250116,2025-01-16,16,1,2025,2,false,Winter
20250117,2025-01-17,17,1,2025,2,false,Winter
20250118,2025-01-18,18,1,2025,2,false,Winter
20250119,2025-01-19,19,1,2025,3,false,Winter
20250120,2025-01-20,20,1,2025,3,false,Winter
20250121,2025-01-21,21,1,2025,3,false,Winter
20250122,2025-01-22,22,1,2025,3,false,Winter
20250123,2025-01-23,23,1,2025,3,false,Winter
20250124,2025-01-24,24,1,2025,3,false,Winter
20250125,2025-01-25,25,1,2025,3,false,Winter
20250126,2025-01-26,26,1,2025,4,false,Winter
20250127,2025-01-27,27,1,2025,4,true,Winter
20250128,2025-01-28,28,1,2025,4,false,Winter
20250129,2025-01-29,29,1,2025,4,false,Winter
20250130,2025-01-30,30,1,2025,4,false,Winter
20250131,2025-01-31,31,1,2025,4,false,Winter
20250201,2025-02-01,1,2,2025,4,false,Winter
20250202,2025-02-02,2,2,2025,5,false,Winter
20250203,2025-02-03,3,2,2025,5,false,Winter
20250204,2025-02-04,4,2,2025,5,false,Winter
20250205,2025-02-05,5,2,2025,5,false,Winter
20250206,2025-02-06,6,2,2025,5,false,Winter
20250207,2025-02-07,7,2,2025,5,false,Winter
20250208,2025-02-08,8,2,2025,5,false,Winter
20250209,2025-02-09,9,2,2025,6,false,Winter
20250210,2025-02-10,10,2,2025,6,false,Winter
20250211,2025-02-11,11,2,2025,6,false,Winter
20250212,2025-02-12,12,2,2025,6,false,Winter
20250213,2025-02-13,13,2,2025,6,false,Winter
20250214,2025-02-14,14,2,2025,6,true,Winter
20250215,2025-02-15,15,2,2025,6,false,Winter
20250216,2025-02-16,16,2,2025,7,false,Winter
20250217,2025-02-17,17,2,2025,7,false,Winter
20250218,2025-02-18,18,2,2025,7,false,Winter
20250219,2025-02-19,19,2,2025,7,false,Winter
20250220,2025-02-20,20,2,2025,7,false,Winter
20250221,2025-02-21,21,2,2025,7,false,Winter
20250222,2025-02-22,22,2,2025,7,false,Winter
20250223,2025-02-23,23,2,2025,8,false,Winter
20250224,2025-02-24,24,2,2025,8,false,Winter
20250225,2025-02-25,25,2,2025,8,false,Winter
20250226,2025-02-26,26,2,2025,8,false,Winter
20250227,2025-02-27,27,2,2025,8,false,Winter
20250228,2025-02-28,28,2,2025,8,false,Winter
20250301,2025-03-01,1,3,2025,8,false,Spring
20250302,2025-03-02,2,3,2025,9,false,Spring
20250303,2025-03-03,3,3,2025,9,false,Spring
20250304,2025-03-04,4,3,2025,9,false,Spring
20250305,2025-03-05,5,3,2025,9,false,Spring
20250306,2025-03-06,6,3,2025,9,false,Spring
20250307,2025-03-07,7,3,2025,9,false,Spring
20250308,2025-03-08,8,3,2025,9,false,Spring
20250309,2025-03-09,9,3,2025,10,false,Spring
20250310,2025-03-10,10,3,2025,10,false,Spring
20250311,2025-03-11,11,3,2025,10,false,Spring
20250312,2025-03-12,12,3,2025,10,false,Spring
20250313,2025-03-13,13,3,2025,10,false,Spring
20250314,2025-03-14,14,3,2025,10,false,Spring
20250315,2025-03-15,15,3,2025,10,false,Spring
20250316,2025-03-16,16,3,2025,11,false,Spring
20250317,2025-03-17,17,3,2025,11,false,Spring
20250318,2025-03-18,18,3,2025,11,false,Spring
20250319,2025-03-19,19,3,2025,11,false,Spring
20250320,2025-03-20,20,3,2025,11,false,Spring
20250321,2025-03-21,21,3,2025,11,false,Spring
20250322,2025-03-22,22,3,2025,11,false,Spring
20250323,2025-03-23,23,3,2025,12,false,Spring
20250324,2025-03-24,24,3,2025,12,false,Spring
20250325,2025-03-25,25,3,2025,12,false,Spring
20250326,2025-03-26,26,3,2025,12,false,Spring
20250327,2025-03-27,27,3,2025,12,false,Spring
